Prefijo;Descripción;Tipo;Obsevaciones;
id;Identificadores, típicamente autonúmericos y candiatos naturales a llave primaria;Tipo de dato;;
nb;Nombre asociado al registro;Tipo de dato;;
cl;Clave legible para el usuario que identifica al registro;Tipo de dato;;
ds;Descripción u observaciones del usuario hacia el registro;Tipo de dato;;
fe;Fechas;Tipo de dato;;
no;Números;Tipo de dato;;
mn;Montos;Tipo de dato;;
fg;Banderas booleanas;Tipo de dato;;
ne;estructuras no definidas;Tipo de dato;;
tm;Horario;Tipo de dato;;
q;Consultas linq;resultado;prefijo + tipodato + nombre variable;
v;Variables dentro del scope de bloque de código;resultado;;
vs;Variables dentro del scope de ViewState;resultado;;
g;Variables dentro del scope de la clase;resultado;;
p;Parametros de funciones o procedimientos almacenados;resultado;;
lst;Variables de tipo lista genérica;Tipo de dato especial;gLst, vLst, pLst, vsLst;
arr;Arreglo de cualquier tipo de dato;Tipo de dato especial;gArr, vArr, pArr, vsArr;
wc;Web Services Cliente consumo de objetos;Tipo de dato especial;;
i;Interfaces de objetos;Tipo de dato especial;iWc;
ac;Clase abstracta;Tipo de dato especial;acFecha;
o;objetos de tipos complejos;Tipo de dato especial;;
c;Constantes;Tipo de dato especial;;
M;Objetos message en archivos protobuf;Tipo de dato especial;;
f;Funciones (C#, JavaScript y SQL Server);llamadas a funciones;c# y javascript: fNoSumaAB, fLstUsuarios… SQL: f_obtener_usuarios;
sp;Stored Procedures;llamadas a funciones;sp;
cbo;ComboBox;Controles;;
txt;TextBox;Controles;;
nud;NumericUpDown;Controles;;
lbl;Labels;Controles;;
grd;Grids (tablas);Controles;;
clm;Column dentro de los Grids (tablas);Controles;;
dtm;Calendarios con/sin horario;Controles;;
lst;ListBox;Controles;;
img;PictureBox / Imagen;Controles;;
grp;GroupBox;Controles;;
btn;Button;Controles;;
pnl;Panel;Controles;;
lnk;Link / LinkLabel;Controles;;
uct;User Control de Windows Forms;Elementos gráficos;;
frm;Formulario de Windows Forms;Elementos gráficos;;
ng;Clases de la capa Negocio;Clases;;ngIndicadores oNgIndicadores
ad;Clases de la capa Acceso a Datos;Clases;;
en;Enumeraciones;Clases;;vLstEtMetricas
et;Clases de la capa Entidades;Clases;;etMetrica
cd;Clases de la capa Configuración de Dependencias;Clases;;
pr;Clases de la capa Presentación;Clases;;
ex;Clases de la capa Exposición;Clases;;
ws;Web Services Definición;Clases;;
mo;Clases de los Modelos en la capa de Exposición API;Clases;;
c;Catalogos ;Tablas;;
e;Enumeraciones;Tablas;;
k;Kernel ;Tablas;;
m ;kernel con el maestro de los datos suceptibles a cambios;Tablas;;
h;Conserva el historial de Tipo m;Tablas;;
l;Capa ;Tablas;;
ix;Índice de la tabla en BD;Tablas;;
gm;Elemento geometrico para su representacion en mapas;Tipo de dato;;
ft;Tabla Foranea;Tablas;;
